Timestamp,Open,Close,High,Low,Volume
2017-05-19 17:45:00,0.37999,0.37996,0.37999,0.37996,10019.128067
2017-05-19 18:00:00,0.37995,0.37992,0.37996,0.341,14822.48172546
2017-05-19 18:15:00,0.37992,0.37971,0.3799300000000001,0.37971,2049.3797712000005
2017-05-19 18:30:00,0.37968,0.37496,0.37995,0.345,22685.47523418
2017-05-19 18:45:00,0.37496,0.34494,0.37994,0.335,31362.42716656
2017-05-19 19:00:00,0.34494,0.35497,0.35497,0.34,108957.73655554
2017-05-19 19:15:00,0.35494,0.35393,0.355,0.35392,24094.358562859998
2017-05-19 19:30:00,0.35392,0.3537,0.355,0.338,254774.1023007
2017-05-19 19:45:00,0.35369,0.3448699999999999,0.35369,0.34,95641.64754247
2017-05-19 20:00:00,0.34484,0.335,0.34484,0.335,57857.21143204
2017-05-19 20:15:00,0.34068,0.33699,0.3435,0.33575,97673.2592406
2017-05-19 20:30:00,0.33698,0.33187,0.34078,0.33187,14175.38719108
2017-05-19 20:45:00,0.34159,0.3338,0.34159,0.32237,71822.10233696
2017-05-19 21:00:00,0.33381,0.33672,0.33912,0.33,43429.7625439
2017-05-19 21:15:00,0.33377,0.33,0.3365,0.33,61079.605049870006
2017-05-19 21:30:00,0.32667,0.32004,0.33201,0.32004,90244.92435006
2017-05-19 21:45:00,0.32,0.315,0.33,0.315,223819.00831603
2017-05-19 22:00:00,0.315,0.28501,0.315,0.285,176101.5008425
2017-05-19 22:15:00,0.3,0.31918,0.321,0.25,335437.439
2017-05-19 22:30:00,0.28737,0.31984,0.32149,0.28737,76273.19866749
2017-05-19 22:45:00,0.31892,0.318,0.33657,0.3178,73597.77800051999
2017-05-19 23:00:00,0.32992,0.32922,0.32992,0.31799,49077.25217902
2017-05-19 23:15:00,0.32894,0.32999,0.32999,0.32046,49904.1455736
2017-05-19 23:30:00,0.32964,0.3141,0.32998,0.3141,47925.47259446
2017-05-19 23:45:00,0.31411,0.32498,0.325,0.313,98108.22463551
2017-05-20 00:00:00,0.32499,0.32428,0.32499,0.31807,19613.00596211
2017-05-20 00:15:00,0.321,0.3234,0.32388,0.31701,34609.08761704
2017-05-20 00:30:00,0.32,0.31985,0.32261,0.3127,135983.35201204
2017-05-20 00:45:00,0.3299,0.3183,0.3299,0.3171,7282.83055507
2017-05-20 01:00:00,0.3201,0.3252,0.3254,0.315,101753.91383081001
2017-05-20 01:15:00,0.3252,0.3058,0.3252,0.3058,185908.40143693
2017-05-20 01:30:00,0.3055,0.313,0.3137,0.29652,20481.372142120003
2017-05-20 01:45:00,0.31,0.311,0.3119,0.30421,1039.98115728
